ranking	entrez_id
1	7849
2	4072
3	10265
4	3880
5	307
6	5042
7	729359
8	440590
9	6192
10	4211
11	25900
12	25894
13	115290
14	54863
15	2294
16	55971
17	5795
18	57664
19	5451
20	83871
21	2130
22	10553
23	6662
24	3226
25	23708
26	9985
27	3207
28	339804
29	113802
30	23111
31	2037
32	8407
33	3234
34	84717
35	55611
36	51372
37	84814
38	83742
39	9455
40	89848
41	23194
42	4255
43	864
44	51053
45	3490
46	3205
47	57185
48	140688
49	9361
50	23231
51	5937
52	55612
53	2983
54	83987
55	2906
56	7539
57	3945
58	3373
59	3236
60	84302
61	3192
62	3398
63	5480
64	10605
65	7088
66	7991
67	5707
68	90135
69	6397
70	115749
71	1266
72	54502
73	27350
74	8793
75	2308
76	94
77	26003
78	604
79	56181
80	80790
81	4814
82	8653
83	79628
84	101
85	23670
86	285643
87	57559
88	10957
89	3670
90	6272
91	55701
92	55092
93	6643
94	116832
95	91137
96	7436
97	2615
98	7837
99	5754
100	79991
101	3209
102	11033
103	3146
104	3995
105	7052
106	10253
107	64283
108	55353
109	84433
110	55139
111	203286
112	91782
113	5099
114	9159
115	8263
116	8907
117	55217
118	26528
119	64073
120	22936
121	63826
122	201475
123	10791
124	11269
125	51473
126	8455
127	23516
128	9532
129	81491
130	3984
131	3090
132	29103
133	200942
134	8510
135	56892
136	94234
137	7043
138	3651
139	56034
140	80335
141	6907
142	284996
143	55222
144	4053
145	10205
146	23386
147	91607
148	84246
149	2869
150	8817
151	2627
152	255738
153	135932
154	3669
155	9086
156	126432
157	639
158	79191
159	84243
160	966
161	23743
162	91010
163	130367
164	51523
165	5891
166	83716
167	55743
168	4670
169	28951
170	23228
171	56672
172	3204
173	7162
174	51299
175	169792
176	3586
177	52
178	7852
179	2114
180	55200
181	57804
182	2581
183	6134
184	4316
185	79623
186	9496
187	771
188	90353
189	83860
190	284348
191	81550
192	3218
193	200634
194	8483
195	130576
196	23474
197	23143
198	2014
199	5342
200	10769
201	83849
202	285498
203	5306
204	5584
205	1839
206	80201
207	1306
208	3199
209	9465
210	3673
211	375519
212	79074
213	2258
214	51460
215	55198
216	5141
217	10276
218	221079
219	55512
220	85395
221	10100
222	203427
223	128077
224	94274
225	1749
226	51131
227	100128731
228	85019
229	1300
230	23254
231	10622
232	56683
233	954
234	6926
235	64601
236	1002
237	259217
238	5318
239	5125
240	29956
241	875
242	246184
243	9480
244	145376
245	140707
246	143903
247	56975
248	65124
249	664
250	2135
251	9214
252	389792
253	56965
254	84969
255	10631
256	65979
257	23710
258	5737
259	54674
260	463
261	256764
262	8082
263	79155
264	6474
265	1535
266	3988
267	8795
268	1233
269	55100
270	745
271	5468
272	286827
273	8528
274	619373
275	3217
276	5327
277	7157
278	4008
279	1071
280	7296
281	5154
282	80321
283	221895
284	2252
285	3190
286	11217
287	79746
288	84542
289	57715
290	256691
291	8482
292	91975
293	55286
294	9843
295	55909
296	148113
297	57116
298	5332
299	285220
300	80150
301	113730
302	6450
303	25978
304	9719
305	125111
306	7227
307	55784
308	9021
309	115004
310	4488
311	610
312	9577
313	330
314	4486
315	3206
316	79027
317	683
318	6714
319	257144
320	54623
321	9324
322	84451
323	51422
324	5764
325	3814
326	10868
327	308
328	1080
329	5706
330	23047
331	3601
332	5624
333	10451
334	56667
335	6556
336	6602
337	379
338	652
339	4239
340	7477
341	1718
342	22836
343	8425
344	166929
345	83714
346	23779
347	6383
348	80114
349	3235
350	375686
351	84991
352	115273
353	11332
354	10164
355	51076
356	26137
357	3170
358	91860
359	132789
360	56256
361	81792
362	725
363	284358
364	1051
365	8291
366	80820
367	8522
368	144455
369	80818
370	55177
371	7226
372	9394
373	10595
374	339456
375	29941
376	92675
377	440712
378	84885
379	120892
380	2811
381	2512
382	55854
383	8935
384	100191040
385	78989
386	64175
387	79745
388	284069
389	2297
390	112703
391	958
392	3309
393	26272
394	57473
395	79152
396	56649
