ranking	entrez_id
1	563
2	7849
3	10265
4	3171
5	9455
6	6192
7	54863
8	55701
9	4837
10	6662
11	8455
12	51341
13	90135
14	3207
15	8425
16	2769
17	1200
18	7389
19	8793
20	55353
21	3566
22	11332
23	10553
24	274
25	6144
26	84717
27	3205
28	54985
29	7043
30	10961
31	9540
32	2014
33	113802
34	83871
35	259
36	11344
37	25927
38	10205
39	6164
40	2803
41	127018
42	2615
43	7837
44	8092
45	2495
46	54854
47	2192
48	1535
49	51816
50	116832
51	6945
52	85014
53	929
54	5176
55	28987
56	55222
57	1052
58	7991
59	8407
60	29841
61	6277
62	3159
63	348
64	6441
65	219402
66	6147
67	5480
68	1266
69	130576
70	5646
71	10791
72	1051
73	26010
74	581
75	3257
76	379
77	3226
78	9086
79	79850
80	3490
81	6590
82	1509
83	2512
84	27293
85	2264
86	3336
87	4239
88	9577
89	1364
90	958
91	1191
92	501
93	83716
94	10158
95	3984
96	53615
97	54958
98	85456
99	9168
100	216
101	5004
102	1992
103	71
104	1306
105	57333
106	23474
107	113730
108	6282
109	6888
110	64073
111	10644
112	50509
113	200942
114	80142
115	3300
116	2810
117	64114
118	23529
119	183
120	2037
121	163183
122	8653
123	2123
124	84418
125	64838
126	3218
127	213
128	7345
129	55101
130	6723
131	11040
132	2167
133	84991
134	78992
135	10099
136	2950
137	83742
138	6748
139	3206
140	11186
141	79027
142	733
143	9324
144	836
145	254102
146	22838
147	4008
148	4016
149	3988
150	10093
151	4072
152	445
153	56925
154	23549
155	219541
156	29107
157	23111
158	8884
159	6602
160	4311
161	6439
162	6280
163	2877
164	3700
165	4026
166	10406
167	1281
168	27122
169	2687
170	578
171	2119
172	200634
173	6696
174	401115
175	6690
176	4118
177	55765
178	9470
179	100128731
180	8483
181	8406
182	54859
183	203
184	126299
185	7431
186	6382
187	54742
188	6450
189	6699
190	91607
191	967
192	3481
193	4316
194	23213
195	55859
196	5446
197	2624
198	9021
199	4818
200	5719
201	684
202	7295
203	5950
204	55741
205	1749
206	51246
207	80790
208	23231
209	9214
210	1291
211	79155
212	6139
213	10253
214	3217
215	6288
216	5654
217	112464
218	10736
219	29780
220	29785
221	1117
222	1646
223	3162
224	1445
225	127703
226	1848
227	1119
228	6284
229	374897
230	9976
231	84433
232	148113
233	4291
234	4982
235	7104
236	23452
237	7033
238	5872
239	2535
240	91461
241	7088
242	255783
243	5493
244	26499
245	83638
246	6223
247	30833
248	51177
249	4048
250	6201
251	4477
252	56672
253	1363
254	51170
255	8869
256	7873
257	5947
258	8839
259	638
260	1577
261	51082
262	113452
263	79191
264	90480
265	7078
266	51473
